"","Manufacturer","ManufacturerModelName","ImagerPixelSpacing","PhotometricInterpretation","RescaleIntercept","RescaleSlope","RescaleType","VOILUTFunction","WindowCenterWidthExplanation"
"65","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.4.5",0.094,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"299","GE MEDICAL SYSTEMS","Senographe Essential VERSION ADS_53.40",0.094,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"537","GE MEDICAL SYSTEMS","Senographe Essential VERSION ADS_53.40",0.094,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER', 'USER')"
"1303","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.5",0.094,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"1304","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.5",0.057,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER', 'USER')"
"1305","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.5",0.057,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"4943","GE MEDICAL SYSTEMS","Senographe Essential VERSION ADS_53.40",0.055,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"10272","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.4.5",0.067,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"11123","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.4.5",0.057,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"14494","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.4.5",0.094,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER', 'USER')"
"30402","GE MEDICAL SYSTEMS","Senographe Essential VERSION ADS_53.40",0.067,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"34551","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.5",0.094,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER', 'USER')"
"42079","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.4.5",0.053,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"80885","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.5",0.053,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"82069","GE MEDICAL SYSTEMS","Senograph 2000D ADS_17.4.5",0.094,"MONOCHROME1",0,1,"US","",""
"86198","GE MEDICAL SYSTEMS","Senographe Essential VERSION ADS_53.40",0.094,"MONOCHROME1",0,1,"US","",""
"89139","GE MEDICAL SYSTEMS","Senographe Essential VERSION ADS_54.10",0.094,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER')"
"122525","GE MEDICAL SYSTEMS","Senographe Essential VERSION ADS_53.40",0.055,"MONOCHROME2",0,1,"US","SIGMOID","('NORMAL', 'HARDER', 'SOFTER', 'USER')"
